name	min_sharpe	mean_return	gap	meets_target
hybrid c1.000 s21 w0.5 cost10	0.2675	0.1738	0.2387	False
hybrid c1.000 s21 w0.6 cost5	0.3151	0.1889	0.1849	False
hybrid c1.000 s21 w0.6 cost10	0.2675	0.1738	0.2387	False
hybrid c1.000 s21 w0.7 cost5	0.3151	0.1889	0.1849	False
hybrid c1.000 s21 w0.7 cost10	0.2675	0.1738	0.2387	False
hybrid c1.000 s22 w0.3 cost5	0.3177	0.1866	0.1823	False
hybrid c1.000 s22 w0.3 cost10	0.2726	0.1722	0.2353	False
hybrid c1.000 s22 w0.4 cost5	0.3177	0.1866	0.1823	False
hybrid c1.000 s22 w0.4 cost10	0.2726	0.1722	0.2353	False
hybrid c1.000 s22 w0.5 cost5	0.3177	0.1866	0.1823	False
hybrid c1.000 s22 w0.5 cost10	0.2726	0.1722	0.2353	False
hybrid c1.000 s22 w0.6 cost5	0.3177	0.1866	0.1823	False
hybrid c1.000 s22 w0.6 cost10	0.2726	0.1722	0.2353	False
hybrid c1.000 s22 w0.7 cost5	0.3177	0.1866	0.1823	False
hybrid c1.000 s22 w0.7 cost10	0.2726	0.1722	0.2353	False
hybrid c1.005 s12 w0.3 cost5	0.7134	0.1657	0.0143	False
hybrid c1.005 s12 w0.3 cost10	0.6311	0.1498	0.0302	False
hybrid c1.005 s12 w0.4 cost5	0.7134	0.1657	0.0143	False
hybrid c1.005 s12 w0.4 cost10	0.6311	0.1498	0.0302	False
hybrid c1.005 s12 w0.5 cost5	0.7134	0.1657	0.0143	False
hybrid c1.005 s12 w0.5 cost10	0.6311	0.1498	0.0302	False
hybrid c1.005 s12 w0.6 cost5	0.7134	0.1657	0.0143	False
hybrid c1.005 s12 w0.6 cost10	0.6311	0.1498	0.0302	False
hybrid c1.005 s12 w0.7 cost5	0.7134	0.1657	0.0143	False
hybrid c1.005 s12 w0.7 cost10	0.6311	0.1498	0.0302	False
hybrid c1.005 s14 w0.3 cost5	0.7017	0.1709	0.0091	False
hybrid c1.005 s14 w0.3 cost10	0.6296	0.1566	0.0234	False
hybrid c1.005 s14 w0.4 cost5	0.7017	0.1709	0.0091	False
hybrid c1.005 s14 w0.4 cost10	0.6296	0.1566	0.0234	False
hybrid c1.005 s14 w0.5 cost5	0.7017	0.1709	0.0091	False
hybrid c1.005 s14 w0.5 cost10	0.6296	0.1566	0.0234	False
hybrid c1.005 s14 w0.6 cost5	0.7017	0.1709	0.0091	False
