name	holdout_sharpe	holdout_ann	holdout_dd	composite	alpha_inf	beats_raw
regime mom_resid_vol sm16 w0.55 cg1.00 cb0.85 mn0.35 neu0.70 boostmid+low	-0.0246	-0.0033	-0.0949	0.0433	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.00 cb0.85 mn0.35 neu0.70 boostmid	0.0154	-0.0009	-0.0919	0.0834	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.05 cb0.80 mn0.25 neu0.55 boostmid+low	-0.0129	-0.0024	-0.0867	0.0498	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.05 cb0.80 mn0.25 neu0.55 boostmid	0.0017	-0.0015	-0.0859	0.0646	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.05 cb0.80 mn0.25 neu0.70 boostmid+low	-0.0129	-0.0024	-0.0867	0.0498	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.05 cb0.80 mn0.25 neu0.70 boostmid	0.0017	-0.0015	-0.0859	0.0646	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.05 cb0.80 mn0.35 neu0.55 boostmid+low	0.1946	0.0099	-0.0856	0.2687	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.05 cb0.80 mn0.35 neu0.55 boostmid	0.2093	0.0107	-0.0853	0.2840	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.05 cb0.80 mn0.35 neu0.70 boostmid+low	0.1989	0.0102	-0.0852	0.2730	1.0000	False
regime mom_resid_vol sm16 w0.55 cg1.05 cb0.80 mn0.35 neu0.70 boostmid	0.2147	0.0111	-0.0849	0.2895	1.0000	False
regime mom_resid_vol sm16 w0.55 cg0.95 cb0.75 mn0.25 neu0.55 boostmid+low	0.0717	0.0025	-0.0943	0.1450	1.0000	False
regime mom_resid_vol sm16 w0.55 cg0.95 cb0.75 mn0.25 neu0.55 boostmid	0.1018	0.0044	-0.0913	0.1746	1.0000	False
regime mom_resid_vol sm16 w0.55 cg0.95 cb0.75 mn0.25 neu0.70 boostmid+low	0.0717	0.0025	-0.0943	0.1450	1.0000	False
regime mom_resid_vol sm16 w0.55 cg0.95 cb0.75 mn0.25 neu0.70 boostmid	0.1018	0.0044	-0.0913	0.1746	1.0000	False
regime mom_resid_vol sm16 w0.55 cg0.95 cb0.75 mn0.35 neu0.55 boostmid+low	0.2404	0.0133	-0.0916	0.3224	1.0000	False
regime mom_resid_vol sm16 w0.55 cg0.95 cb0.75 mn0.35 neu0.55 boostmid	0.2711	0.0152	-0.0893	0.3533	1.0000	False
regime mom_resid_vol sm16 w0.55 cg0.95 cb0.75 mn0.35 neu0.70 boostmid+low	0.2496	0.0140	-0.0912	0.3320	1.0000	False
regime mom_resid_vol sm16 w0.55 cg0.95 cb0.75 mn0.35 neu0.70 boostmid	0.2804	0.0158	-0.0889	0.3629	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.00 cb0.85 mn0.25 neu0.55 boostmid+low	0.2801	0.0163	-0.0999	0.3714	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.00 cb0.85 mn0.25 neu0.55 boostmid	0.3094	0.0179	-0.0959	0.3992	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.00 cb0.85 mn0.25 neu0.70 boostmid+low	0.2801	0.0163	-0.0999	0.3714	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.00 cb0.85 mn0.25 neu0.70 boostmid	0.3094	0.0179	-0.0959	0.3992	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.00 cb0.85 mn0.35 neu0.55 boostmid+low	0.4971	0.0316	-0.0959	0.6007	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.00 cb0.85 mn0.35 neu0.55 boostmid	0.5273	0.0332	-0.0922	0.6296	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.00 cb0.85 mn0.35 neu0.70 boostmid+low	0.5055	0.0322	-0.0957	0.6095	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.00 cb0.85 mn0.35 neu0.70 boostmid	0.5358	0.0338	-0.0920	0.6386	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.05 cb0.80 mn0.25 neu0.55 boostmid+low	0.3931	0.0233	-0.0903	0.4840	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.05 cb0.80 mn0.25 neu0.55 boostmid	0.4189	0.0245	-0.0867	0.5085	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.05 cb0.80 mn0.25 neu0.70 boostmid+low	0.3931	0.0233	-0.0903	0.4840	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.05 cb0.80 mn0.25 neu0.70 boostmid	0.4189	0.0245	-0.0867	0.5085	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.05 cb0.80 mn0.35 neu0.55 boostmid+low	0.6061	0.0385	-0.0885	0.7109	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.05 cb0.80 mn0.35 neu0.55 boostmid	0.6317	0.0396	-0.0861	0.7359	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.05 cb0.80 mn0.35 neu0.70 boostmid+low	0.6102	0.0388	-0.0881	0.7151	1.0000	False
regime mom_resid_vol sm18 w0.25 cg1.05 cb0.80 mn0.35 neu0.70 boostmid	0.6369	0.0400	-0.0857	0.7412	1.0000	False
regime mom_resid_vol sm18 w0.25 cg0.95 cb0.75 mn0.25 neu0.55 boostmid+low	0.5479	0.0359	-0.0936	0.6540	1.0000	False
regime mom_resid_vol sm18 w0.25 cg0.95 cb0.75 mn0.25 neu0.55 boostmid	0.5704	0.0368	-0.0907	0.6753	1.0000	False
regime mom_resid_vol sm18 w0.25 cg0.95 cb0.75 mn0.25 neu0.70 boostmid+low	0.5479	0.0359	-0.0936	0.6540	1.0000	False
regime mom_resid_vol sm18 w0.25 cg0.95 cb0.75 mn0.25 neu0.70 boostmid	0.5704	0.0368	-0.0907	0.6753	1.0000	False
regime mom_resid_vol sm18 w0.25 cg0.95 cb0.75 mn0.35 neu0.55 boostmid+low	0.7154	0.0489	-0.0932	0.8342	1.0000	False
regime mom_resid_vol sm18 w0.25 cg0.95 cb0.75 mn0.35 neu0.55 boostmid	0.7391	0.0499	-0.0906	0.8570	1.0000	False
regime mom_resid_vol sm18 w0.25 cg0.95 cb0.75 mn0.35 neu0.70 boostmid+low	0.7237	0.0496	-0.0929	0.8430	1.0000	False
regime mom_resid_vol sm18 w0.25 cg0.95 cb0.75 mn0.35 neu0.70 boostmid	0.7475	0.0506	-0.0904	0.8658	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.00 cb0.85 mn0.25 neu0.55 boostmid+low	0.0655	0.0021	-0.1053	0.1467	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.00 cb0.85 mn0.25 neu0.55 boostmid	0.1074	0.0048	-0.1014	0.1882	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.00 cb0.85 mn0.25 neu0.70 boostmid+low	0.0655	0.0021	-0.1053	0.1467	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.00 cb0.85 mn0.25 neu0.70 boostmid	0.1074	0.0048	-0.1014	0.1882	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.00 cb0.85 mn0.35 neu0.55 boostmid+low	0.2775	0.0162	-0.1016	0.3700	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.00 cb0.85 mn0.35 neu0.55 boostmid	0.3195	0.0188	-0.0981	0.4118	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.00 cb0.85 mn0.35 neu0.70 boostmid+low	0.2862	0.0168	-0.1014	0.3791	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.00 cb0.85 mn0.35 neu0.70 boostmid	0.3282	0.0194	-0.0979	0.4210	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.05 cb0.80 mn0.25 neu0.55 boostmid+low	0.2122	0.0114	-0.0954	0.2951	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.05 cb0.80 mn0.25 neu0.55 boostmid	0.2620	0.0143	-0.0916	0.3450	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.05 cb0.80 mn0.25 neu0.70 boostmid+low	0.2122	0.0114	-0.0954	0.2951	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.05 cb0.80 mn0.25 neu0.70 boostmid	0.2620	0.0143	-0.0916	0.3450	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.05 cb0.80 mn0.35 neu0.55 boostmid+low	0.4194	0.0253	-0.0928	0.5144	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.05 cb0.80 mn0.35 neu0.55 boostmid	0.4682	0.0282	-0.0894	0.5634	1.0000	False
